도로명주소,위도,경도,구분,이름
삼랑진읍 삼랑진로 1126-13,35.4389285843,128.8085002245,1,자광사
삼랑진읍 행곡3길 68-72,35.4210142252,128.907605952,1,천불사
삼랑진읍 송지3길 13,35.4008627839,128.8403059541,1,원불교
하남읍 내서4길 15-2,35.3748718962,128.7039591981,1,강정사
하남읍 내동2길 9-11,35.3766154396,128.7082151007,1,수덕사
하남읍 백산로 267-208,35.3729464312,128.7515861246,1,대원사
하남읍 남전2길 7-40,35.4174128473,128.7145204812,1,반야정사
하남읍 파내길 26-6,35.391256832,128.7406777748,1,보타사
하남읍 백산1길 21-8,35.371987,128.748303213,1,백련사
하남읍 성만남전로 463-5,35.410276904,128.736527758,1,선주암
하남읍 남전2길 13,35.4137501014,128.7144286696,1,관덕사
하남읍 대평2길 23,35.3677102568,128.728378596,1,청연암
하남읍 대사길 86,35.3931303217,128.7341117455,1,약원정사
하남읍 대사4길 54-3,35.396171511,128.7294268077,1,혜원사
하남읍 명례2길 8-11,35.3522039226,128.7643165128,1,광명사
하남읍 내서2길 3-7,35.3760351795,128.7061923489,1,천신암
부북면 덕곡2길 139-46,35.5047598999,128.7027312431,1,보덕사
부북면 사포공단1길 25-96,35.463377199,128.7445827377,1,관음사
부북면 추원재길 71-1,35.4827694215,128.7183921069,1,정각사
부북면 퇴로로 279-100,35.556018321,128.7047202501,1,대각정사
부북면 화악산길 471-11,35.5689755445,128.7069401573,1,지장사
부북면 후사포2길 93,35.4645855218,128.7231755052,1,어룡사
부북면 점필재로 154-1,35.4863752977,128.72922758,1,대광사
부북면 사포로 379,35.4917913269,128.7273179125,1,법운사
부북면 퇴로로 171-8,35.5449439588,128.6979615997,1,천명사
부북면 대항길 440-44,35.5638242176,128.6918867815,1,자비사
부북면 대항길 526,35.5678227775,128.6928897267,1,용인정사
상동면 금산3길 18-93,35.5556779308,128.7796045055,1,보광정사
상동면 금산7길 7-3,35.5547205254,128.7609211904,1,일상사
상동면 금산1길 36-10,35.5425088158,128.7772907496,1,수월사
상동면 상동로 190-76,35.5266592778,128.7870943499,1,성불암
상동면 구곡1길 56-4,35.5368439464,128.7552563161,1,구천암
상동면 고정2길 159-11,35.5665435109,128.8077569852,1,법성사
상동면 매화3길 81,35.5828888983,128.8116490058,1,청량사
상동면 금산3윗길 75,35.5572597578,128.7735255077,1,옥천암
상동면 안인2길 81,35.5253756751,128.7610869633,1,염불사
상동면 구곡길 71-83,35.5379975826,128.7510570043,1,성불사
상동면 여수길 327-28,35.5664573681,128.7302568575,1,범용사
상동면 안인5길 165-9,35.5575899164,128.7526048019,1,천일암
상동면 고답로 391-14,35.5602350524,128.8270682708,1,천수암
상동면 매화1길 34-74,35.574204432,128.8076156666,1,죽림정사
상동면 상동로 571,35.5540604746,128.7619414598,1,약수암
상동면 구곡길 67-48,35.5393165979,128.7563553055,1,삼정사
상동면 구곡1길 47,35.5370965478,128.7565120743,1,백천사
상동면 여수길 428-19,35.5699417011,128.7241651835,1,다산사
상동면 도곡1길 97-29,35.5667202907,128.816281722,1,신불사
상동면 신곡3길 13,35.5810932717,128.8316475952,1,다혜사
상동면 구곡길 102,35.5412500445,128.7545420591,1,구룡암
상동면 금산3길 2,35.5484892513,128.7736213035,1,보리암
상동면 금산7길 17-12,35.5542397344,128.7617922115,1,해각사
산외면 다원2길 17,35.5059856072,128.8110663742,1,대원암
산외면 금곡4길 68-81,35.5224627573,128.8345245362,1,성덕사
산외면 금곡4길 36-3,35.5147963269,128.8325118102,1,미륵암
산외면 희곡3길 132-24,35.5433561471,128.8356030681,1,운상암
산외면 산외로 697-238,35.5195109879,128.8432551404,1,백용사
산외면 산외로 697-228,35.5222752198,128.8443902345,1,청용사
산외면 산외로 697-228,35.5222752198,128.8443902345,1,보리암
산외면 희곡1길 92-42,35.5318268654,128.8575637082,1,만등사
산외면 밀양대로 3447-20,35.5436806812,128.8531241037,1,지원사
산외면 희곡3길 84-9,35.5413985927,128.8399586522,1,심명사
산외면 희곡3길 49-27,35.5386058258,128.8439641413,1,봉명암
산외면 산외로 697-71,35.5155342337,128.8432292322,1,백운암
산외면 희곡3길 89-114,35.5359530228,128.8385235089,1,약산사
산외면 희곡3길 52-28,35.541523617,128.8410424589,1,서암사
산외면 남기동길 51,35.51367734,128.7952835708,1,선정사
산외면 엄광중앙로 248-84,35.5252684276,128.8050082749,1,용봉사
산외면 율전안길 3,35.4950068661,128.8138003704,1,관음사
산내면 산내용전4길 29-67,35.5536110582,128.8508600886,1,사천왕사
산내면 산내용전1길 38,35.5660474306,128.8594474985,1,지장사
산내면 발례1길 33-15,35.5663637494,128.8878944839,1,청명사
산내면 임고6길 120,35.5787010457,128.8642920442,1,약천사
산내면 임고6길 77-23,35.5758709853,128.8672270064,1,정토사
산내면 미라2길 23-43,35.5811565434,128.8967039896,1,개명정사
산내면 봉의로 194-8,35.5972289822,128.8711426257,1,구만사
